Site,Plot,Treatment,abundance,density
CAR,1,closed,86,9.555555555555555
CAR,1,open,63,7
CAR,2,closed,171,19
CAR,2,open,182,20.22222222222222
CAR,3,closed,93,10.333333333333334
CAR,3,open,54,6
CAR,4,closed,145,16.11111111111111
CAR,4,open,84,9.333333333333334
CAR,5,closed,93,10.333333333333334
CAR,5,open,171,19
CAR,8,closed,176,19.555555555555557
CAR,8,open,181,20.11111111111111
CAR,9,closed,198,22
CAR,9,open,151,16.77777777777778
CAR,10,closed,226,25.11111111111111
CAR,10,open,87,9.666666666666666
CAR,11,closed,118,13.11111111111111
CAR,11,open,119,13.222222222222221
CAR,12,closed,86,9.555555555555555
CAR,12,open,62,6.888888888888889
CAR,14,closed,69,7.666666666666667
CAR,14,open,70,7.777777777777778
CAR,15,closed,120,13.333333333333334
CAR,15,open,62,6.888888888888889
CBO,1,closed,87,9.666666666666666
CBO,1,open,133,14.777777777777779
CBO,2,closed,64,7.111111111111111
CBO,2,open,54,6
CBO,4,closed,59,6.555555555555555
CBO,4,open,44,4.888888888888889
CBO,5,closed,68,7.555555555555555
CBO,5,open,37,4.111111111111111
CBO,6,closed,58,6.444444444444445
CBO,6,open,97,10.777777777777779
CBO,9,closed,75,8.333333333333334
CBO,9,open,40,4.444444444444445
CBO,11,closed,80,8.88888888888889
CBO,11,open,86,9.555555555555555
CBO,12,closed,81,9
CBO,12,open,115,12.777777777777779
CBO,14,closed,84,9.333333333333334
CBO,14,open,69,7.666666666666667
CBO,15,closed,84,9.333333333333334
CBO,15,open,83,9.222222222222221
ITA,1,closed,79,8.777777777777779
ITA,1,open,92,10.222222222222221
ITA,2,closed,78,8.666666666666666
ITA,2,open,101,11.222222222222221
ITA,4,closed,120,13.333333333333334
ITA,4,open,80,8.88888888888889
ITA,6,closed,113,12.555555555555555
ITA,6,open,91,10.11111111111111
ITA,8,closed,90,10
ITA,8,open,85,9.444444444444445
ITA,10,closed,76,8.444444444444445
ITA,10,open,29,3.2222222222222223
ITA,12,closed,49,5.444444444444445
ITA,12,open,26,2.888888888888889
ITA,14,closed,233,25.88888888888889
ITA,14,open,120,13.333333333333334
ITA,15,closed,91,10.11111111111111
ITA,15,open,72,8
VGM,1,closed,59,6.555555555555555
VGM,1,open,33,3.6666666666666665
VGM,4,closed,170,18.88888888888889
VGM,4,open,152,16.88888888888889
VGM,5,closed,195,21.666666666666668
VGM,5,open,76,8.444444444444445
VGM,6,closed,102,11.333333333333334
VGM,6,open,173,19.22222222222222
VGM,7,closed,109,12.11111111111111
VGM,7,open,94,10.444444444444445
VGM,8,closed,116,12.88888888888889
VGM,8,open,100,11.11111111111111
VGM,9,closed,202,22.444444444444443
VGM,9,open,123,13.666666666666666
VGM,10,closed,102,11.333333333333334
VGM,10,open,66,7.333333333333333
VGM,11,closed,137,15.222222222222221
VGM,11,open,210,23.333333333333332
VGM,12,closed,75,8.333333333333334
VGM,12,open,71,7.888888888888889
VGM,14,closed,88,9.777777777777779
VGM,14,open,122,13.555555555555555
VGM,15,closed,89,9.88888888888889
VGM,15,open,75,8.333333333333334
