local,plot,treatment,leaf_damage,ME,MI,PAT,MIN,GAL
CAR,1,A,1,1,0,1,0,0
CAR,1,F,2,1,0,1,0,0
CAR,2,A,2,1,0,1,0,0
CAR,2,F,2,1,0,0,0,0
CAR,3,A,3,1,0,2,0,0
CAR,3,F,1,1,0,0,0,0
CAR,4,A,2,1,0,1,0,0
CAR,4,F,2,1,0,1,0,0
CAR,5,A,1,1,0,0,0,0
CAR,5,F,2,1,0,1,0,0
CAR,8,A,1,1,0,0,0,0
CAR,8,F,1,1,0,0,0,0
CAR,9,A,2,1,0,1,0,0
CAR,9,F,1,0,0,1,0,0
CAR,10,A,2,1,0,1,0,0
CAR,10,F,2,1,0,1,0,0
CAR,11,A,2,1,0,1,0,0
CAR,11,F,2,1,0,1,0,0
CAR,12,A,2,1,0,1,0,0
CAR,12,F,2,1,0,1,0,0
CAR,14,A,1,1,0,0,0,0
CAR,14,F,2,1,0,0,0,0
CAR,15,A,2,2,0,0,0,0
CAR,15,F,2,1,1,0,0,0
CBO,1,A,3,1,1,1,1,0
CBO,1,F,2,1,1,1,0,0
CBO,2,A,2,1,1,1,0,0
CBO,2,F,2,1,1,1,0,0
CBO,4,A,1,0,0,1,0,0
CBO,4,F,1,1,0,0,0,0
CBO,5,A,3,1,1,1,0,0
CBO,5,F,2,1,1,0,0,0
CBO,6,A,2,1,1,1,0,0
CBO,6,F,2,1,1,1,0,0
CBO,9,A,2,1,1,0,0,0
CBO,9,F,2,1,1,0,0,0
CBO,11,A,2,0,1,1,0,0
CBO,11,F,2,1,1,1,0,0
CBO,12,A,2,1,1,0,0,0
CBO,12,F,2,2,1,0,0,0
CBO,14,A,2,1,1,0,0,0
CBO,14,F,2,1,1,0,0,0
CBO,15,A,3,1,1,1,0,0
CBO,15,F,1,1,0,0,0,0
ITA,1,A,2,1,0,1,0,0
ITA,1,F,2,1,0,1,0,0
ITA,2,A,2,1,1,1,0,0
ITA,2,F,2,1,0,1,0,0
ITA,4,A,1,0,0,1,0,0
ITA,4,F,2,1,0,1,0,0
ITA,6,A,2,1,1,1,0,0
ITA,6,F,2,1,0,1,0,0
ITA,8,A,2,1,1,1,0,0
ITA,8,F,2,1,1,0,0,0
ITA,10,A,2,0,1,0,1,0
ITA,10,F,1,1,1,0,0,0
ITA,12,A,2,1,1,1,0,0
ITA,12,F,1,0,0,0,0,0
ITA,14,A,2,1,0,1,0,0
ITA,14,F,2,1,1,1,0,0
ITA,15,A,2,1,0,1,0,0
ITA,15,F,2,1,1,1,0,0
VG,1,A,2,1,1,0,0,0
VG,1,F,2,0,1,1,0,0
VG,4,A,2,1,1,0,0,0
VG,4,F,1,1,1,0,0,0
VG,5,A,1,1,1,0,0,0
VG,5,F,1,1,1,0,0,0
VG,6,A,2,1,1,0,0,0
VG,6,F,1,1,1,0,0,0
VG,7,A,2,1,1,0,0,0
VG,7,F,1,1,1,0,0,0
VG,8,A,1,1,1,0,0,0
VG,8,F,2,1,1,0,0,0
VG,9,A,2,1,1,1,0,0
VG,9,F,1,1,1,0,0,0
VG,10,A,2,1,1,1,0,0
VG,10,F,2,1,1,1,0,0
VG,11,A,2,1,1,2,0,0
VG,11,F,2,1,1,1,0,0
VG,12,A,2,1,1,1,0,0
VG,12,F,2,1,1,0,0,0
VG,14,A,3,1,1,1,0,0
VG,14,F,3,1,1,1,0,0
VG,15,A,3,1,1,2,0,0
VG,15,F,3,1,1,1,0,0
