Parcelas,Id-plot,tratamento,porcentagem_de_cobertura
CBO,CBO_p01o,open,67.39
CBO,CBO_p01c,closed,72.22
CBO,CBO_p02o,open,66.94
CBO,CBO_p02c,closed,65.92
CBO,CBO_p04o,open,64.56
CBO,CBO_p04c,closed,67.88
CBO,CBO_p05o,open,77.31
CBO,CBO_p05c,closed,72.43
CBO,CBO_p06o,open,70.09
CBO,CBO_p06c,closed,70.62
CBO,CBO_p09o,open,69.88
CBO,CBO_p09c,closed,70.62
CBO,CBO_p11o,open,64.4
CBO,CBO_p11c,closed,61.18
CBO,CBO_p12o,open,71.97
CBO,CBO_p12c,closed,73.2
CBO,CBO_p14o,open,68.66
CBO,CBO_p14c,closed,73.34
CBO,CBO_p15o,open,63.57
CBO,CBO_p15c,closed,71.24
CAR,CAR_p01o,open,69.22
CAR,CAR_p01c,closed,69.69
CAR,CAR_p02o,open,80.54
CAR,CAR_p02c,closed,80.5
CAR,CAR_p03o,open,79.01
CAR,CAR_p03c,closed,76.31
CAR,CAR_p04o,open,73.19
CAR,CAR_p04c,closed,84.76
CAR,CAR_p05o,open,84.01
CAR,CAR_p05c,closed,80.03
CAR,CAR_p08o,open,90.81
CAR,CAR_p08c,closed,90.78
CAR,CAR_p09o,open,61.89
CAR,CAR_p09c,closed,67.76
CAR,CAR_p10o,open,72.6
CAR,CAR_p10c,closed,72.61
CAR,CAR_p11o,open,60.51
CAR,CAR_p11c,closed,60.47
CAR,CAR_p12o,open,66.59
CAR,CAR_p12c,closed,63.35
CAR,CAR_p14o,open,67.37
CAR,CAR_p14c,closed,66.33
CAR,CAR_p15o,open,70.61
CAR,CAR_p15c,closed,70.02
ITA,ITA_p01o,open,84.55
ITA,ITA_p01c,closed,71.38
ITA,ITA_p02o,open,84.68
ITA,ITA_p02c,closed,84.07
ITA,ITA_p04o,open,60.68
ITA,ITA_p04c,closed,85.72
ITA,ITA_p06o,open,79.38
ITA,ITA_p06c,closed,71.67
ITA,ITA_p08o,open,64.04
ITA,ITA_p08c,closed,71.9
ITA,ITA_p10o,open,76.58
ITA,ITA_p10c,closed,86.46
ITA,ITA_p12o,open,89.59
ITA,ITA_p12c,closed,89.68
ITA,ITA_p14o,open,82.52
ITA,ITA_p14c,closed,91.65
ITA,ITA_p15o,open,62.19
ITA,ITA_p15c,closed,82.6
VGM,VGM_p01o,open,63.82
VGM,VGM_p01c,closed,68.03
VGM,VGM_p04o,open,69.14
VGM,VGM_p04c,closed,67.44
VGM,VGM_p05o,open,71.65
VGM,VGM_p05c,closed,70.25
VGM,VGM_p06o,open,78.2
VGM,VGM_p06c,closed,76.3
VGM,VGM_p07o,open,69.23
VGM,VGM_p07c,closed,74.26
VGM,VGM_p08o,open,69.17
VGM,VGM_p08c,closed,69.29
VGM,VGM_p09o,open,72.41
VGM,VGM_p09c,closed,66.78
VGM,VGM_p10o,open,72.64
VGM,VGM_p10c,closed,73.16
VGM,VGM_p11o,open,68.91
VGM,VGM_p11c,closed,64.96
VGM,VGM_p12o,open,72.53
VGM,VGM_p12c,closed,66.27
VGM,VGM_p14o,open,71.64
VGM,VGM_p14c,closed,64.85
VGM,VGM_p15o,open,67.45
VGM,VGM_p15c,closed,67.61
