life-form,competitors,estimate,sd,p_value,treatment,,
palms,trees,0.3676,0.02668,2.00E-16,open,,
palms,trees,0.3466,0.03242,0.50946,closed,,
palms,lianas,0.17905,0.02435,1.93E-13,open,,
palms,lianas,0.03196,0.02791,1.36E-07,closed,,
palms,shrubs,0.006681,0.021132,0.752,open,,
palms,shrubs,-0.212843,0.025976,2.00E-16,closed,,
palms,herbs,0.2453,0.01814,2.00E-16,open,,
palms,herbs,-0.01481,0.02259,2.00E-16,closed,,
palms,bamboos,0.60046,0.02126,2.00E-16,open,,
palms,bamboos,0.21416,0.02448,2.00E-16,closed,,
,,,,,,,
,,,,,,,
,,,,,,,
