bar_values,estimates,p_value,life_form,competitor,treatment
min,0.303,2.00E-16,trees,lianas,open
med,0.322,2.00E-16,trees,lianas,open
max,0.341,2.00E-16,trees,lianas,open
min,0.125,5.31E-16,trees,lianas,closed
med,0.146,5.31E-16,trees,lianas,closed
max,0.167,5.31E-16,trees,lianas,closed
min,0.068,4.51E-07,trees,palms,open
med,0.084,4.51E-07,trees,palms,open
max,0.1,4.51E-07,trees,palms,open
min,0.124,0.00284,trees,palms,closed
med,0.144,0.00284,trees,palms,closed
max,0.164,0.00284,trees,palms,closed
min,0.144,2.00E-16,trees,shrubs,open
med,0.16,2.00E-16,trees,shrubs,open
max,0.176,2.00E-16,trees,shrubs,open
min,-0.085,2.00E-16,trees,shrubs,closed
med,-0.066,2.00E-16,trees,shrubs,closed
max,-0.047,2.00E-16,trees,shrubs,closed
min,0.209,2.00E-16,trees,herbs,open
med,0.224,2.00E-16,trees,herbs,open
max,0.239,2.00E-16,trees,herbs,open
min,0.231,0.171,trees,herbs,closed
med,0.25,0.171,trees,herbs,closed
max,0.269,0.171,trees,herbs,closed
min,0.186,2.00E-16,trees,bamboos,open
med,0.203,2.00E-16,trees,bamboos,open
max,0.22,2.00E-16,trees,bamboos,open
min,0.16,0.247,trees,bamboos,closed
med,0.18,0.247,trees,bamboos,closed
max,0.2,0.247,trees,bamboos,closed
