from,to,estimate,treatment
trees,lianas,0.064,closed
trees,palms,0.038,closed
trees,shrubs,0.057,closed
trees,herbs,0.155,closed
trees,bamboos,-0.016,closed
lianas,trees,0.258,closed
lianas,palms,0.276,closed
lianas,shrubs,-0.277,closed
lianas,herbs,0.19,closed
lianas,bamboos,0.18,closed
palms,trees,0.467,closed
palms,lianas,0.062,closed
palms,shrubs,-0.073,closed
palms,herbs,-0.073,closed
palms,bamboos,0.452,closed
shrubs,trees,-0.071,closed
shrubs,lianas,-0.243,closed
shrubs,palms,-0.164,closed
shrubs,herbs,0.255,closed
shrubs,bamboos,-0.411,closed
herbs,trees,0.184,closed
herbs,lianas,0.222,closed
herbs,palms,-0.051,closed
herbs,shrubs,-0.076,closed
herbs,bamboos,0.269,closed
bamboos,trees,0.461,closed
bamboos,lianas,0.705,closed
bamboos,palms,0.725,closed
bamboos,shrubs,-0.219,closed
bamboos,herbs,0.773,closed
