"Site","Freq","Tratment","Period"
"CAR",42,"close","0"
"CBO",7,"close","0"
"ITA",7,"close","0"
"VGM",37,"close","0"
"CAR",96,"open","0"
"CBO",9,"open","0"
"ITA",16,"open","0"
"VGM",40,"open","0"
"CAR",49,"close","06"
"CBO",8,"close","06"
"ITA",14,"close","06"
"VGM",19,"close","06"
"CAR",118,"open","06"
"CBO",7,"open","06"
"ITA",37,"open","06"
"VGM",47,"open","06"
"CAR",11,"close","12"
"CBO",13,"close","12"
"ITA",16,"close","12"
"VGM",51,"close","12"
"CAR",18,"open","12"
"CBO",12,"open","12"
"ITA",58,"open","12"
"VGM",132,"open","12"
"CAR",42,"close","18"
"CBO",10,"close","18"
"ITA",25,"close","18"
"VGM",28,"close","18"
"CAR",25,"open","18"
"CBO",17,"open","18"
"ITA",43,"open","18"
"VGM",61,"open","18"
"CAR",47,"close","24"
"CBO",7,"close","24"
"ITA",20,"close","24"
"VGM",52,"close","24"
"CAR",26,"open","24"
"CBO",10,"open","24"
"ITA",29,"open","24"
"VGM",68,"open","24"
"CAR",70,"close","30"
"CBO",13,"close","30"
"ITA",29,"close","30"
"VGM",42,"close","30"
"CAR",107,"open","30"
"CBO",8,"open","30"
"ITA",28,"open","30"
"VGM",51,"open","30"
"CAR",38,"close","36"
"CBO",15,"close","36"
"ITA",20,"close","36"
"VGM",51,"close","36"
"CAR",41,"open","36"
"CBO",10,"open","36"
"ITA",22,"open","36"
"VGM",55,"open","36"
"CAR",42,"close","42"
"CBO",19,"close","42"
"ITA",33,"close","42"
"VGM",63,"close","42"
"CAR",50,"open","42"
"CBO",12,"open","42"
"ITA",35,"open","42"
"VGM",54,"open","42"
"CAR",47,"close","48"
"ITA",23,"close","48"
"VGM",58,"close","48"
"CAR",47,"open","48"
"ITA",20,"open","48"
"VGM",32,"open","48"
"CAR",42,"close","54"
"ITA",26,"close","54"
"VGM",35,"close","54"
"CAR",41,"open","54"
"ITA",32,"open","54"
"VGM",25,"open","54"
"CAR",96,"close","60"
"ITA",92,"close","60"
"VGM",71,"close","60"
"CAR",61,"open","60"
"ITA",62,"open","60"
"VGM",66,"open","60"
"CAR",40,"close","66"
"CBO",47,"close","66"
"ITA",50,"close","66"
"VGM",34,"close","66"
"CAR",27,"open","66"
"CBO",41,"open","66"
"ITA",34,"open","66"
"VGM",32,"open","66"
"CAR",32,"close","72"
"CBO",47,"close","72"
"ITA",26,"close","72"
"VGM",42,"close","72"
"CAR",27,"open","72"
"CBO",50,"open","72"
"ITA",11,"open","72"
"VGM",41,"open","72"
"CAR",110,"close","78"
"CBO",13,"close","78"
"ITA",24,"close","78"
"VGM",27,"close","78"
"CAR",77,"open","78"
"CBO",21,"open","78"
"ITA",14,"open","78"
"VGM",20,"open","78"
"CAR",713,"close","84"
"CBO",343,"close","84"
"ITA",370,"close","84"
"VGM",685,"close","84"
"CAR",94,"open","84"
"CBO",151,"open","84"
"ITA",48,"open","84"
"VGM",157,"open","84"
