time,Species,open,closed,close_open,percen_g_closed
0,Euterpe.edulis,311,205,-106,-34.08360128617363
6,Euterpe.edulis,317,225,-92,-29.022082018927446
12,Euterpe.edulis,298,227,-71,-23.825503355704697
18,Euterpe.edulis,238,250,12,5.042016806722689
24,Euterpe.edulis,232,287,55,23.70689655172414
30,Euterpe.edulis,257,342,85,33.0739299610895
36,Euterpe.edulis,239,367,128,53.55648535564853
42,Euterpe.edulis,212,336,124,58.490566037735846
48,Euterpe.edulis,181,298,117,64.64088397790056
54,Euterpe.edulis,176,313,137,77.8409090909091
60,Euterpe.edulis,182,334,152,83.51648351648352
66,Euterpe.edulis,161,311,150,93.16770186335404
72,Euterpe.edulis,166,311,145,87.34939759036145
78,Euterpe.edulis,160,314,154,96.25
84,Euterpe.edulis,158,304,146,92.40506329113924
90,Euterpe.edulis,124,217,93,75
96,Euterpe.edulis,163,258,95,58.282208588957054
