Site,Freq,Treatment,Period
CAR,42,closed,0
CBO,7,closed,0
ITA,7,closed,0
VGM,37,closed,0
CAR,96,open,0
CBO,9,open,0
ITA,16,open,0
VGM,40,open,0
CAR,11,closed,06
ITA,10,closed,06
VGM,4,closed,06
CAR,30,open,06
CBO,3,open,06
ITA,6,open,06
VGM,7,open,06
ITA,6,closed,12
VGM,6,closed,12
CAR,5,open,12
CBO,2,open,12
ITA,17,open,12
VGM,36,open,12
CAR,2,closed,18
CBO,1,closed,18
ITA,2,closed,18
VGM,2,closed,18
CAR,2,open,18
ITA,12,open,18
VGM,9,open,18
CAR,14,closed,24
CBO,2,closed,24
ITA,2,closed,24
VGM,1,closed,24
CAR,7,open,24
CBO,2,open,24
ITA,8,open,24
VGM,9,open,24
CAR,26,closed,30
CBO,5,closed,30
ITA,16,closed,30
VGM,6,closed,30
CAR,45,open,30
CBO,1,open,30
ITA,19,open,30
VGM,9,open,30
CAR,15,closed,36
CBO,1,closed,36
ITA,4,closed,36
VGM,11,closed,36
CAR,17,open,36
CBO,1,open,36
ITA,12,open,36
VGM,12,open,36
CAR,7,closed,42
CBO,6,closed,42
ITA,8,closed,42
VGM,12,closed,42
CAR,17,open,42
ITA,10,open,42
VGM,5,open,42
CAR,10,closed,48
CBO,2,closed,48
ITA,2,closed,48
VGM,3,closed,48
CAR,11,open,48
CBO,2,open,48
ITA,3,open,48
VGM,6,open,48
CAR,6,closed,54
ITA,16,closed,54
VGM,8,closed,54
CAR,15,open,54
ITA,20,open,54
VGM,2,open,54
CAR,11,closed,60
ITA,20,closed,60
VGM,12,closed,60
CAR,9,open,60
ITA,13,open,60
VGM,6,open,60
CAR,12,closed,66
ITA,4,closed,66
VGM,9,closed,66
CAR,7,open,66
ITA,5,open,66
VGM,7,open,66
CAR,3,closed,72
CBO,24,closed,72
ITA,7,closed,72
VGM,7,closed,72
CBO,18,open,72
ITA,3,open,72
VGM,9,open,72
CAR,69,closed,78
CBO,2,closed,78
ITA,5,closed,78
VGM,2,closed,78
CAR,51,open,78
CBO,6,open,78
ITA,5,open,78
VGM,2,open,78
CAR,4,closed,84
CBO,2,closed,84
ITA,5,closed,84
VGM,11,closed,84
CAR,7,open,84
CBO,4,open,84
ITA,2,open,84
VGM,7,open,84
CBO,1,closed,90
CBO,2,open,90
CBO,4,closed,96
CBO,2,open,96
CBO,105,closed,108
CBO,151,open,108
